Question | Wrong Answer | Expected Answer | Option ID
What were my total sales in DELI PHARMACY Last Complete Week? | Total sales in the DELI PHARMACY departments Last Week. | Total sales in DELI PHARMACY Last Complete Week. | 3
What were my total sales in DELI HBC Last Complete Week? | Total sales in store Delhi Last Complete Week. | Total sales in DELI HBC Last Complete Week. | 3
What were my total sales in BAKERY MEAT Last Complete Week? | Total sales excluding BAKERY Last Complete Week. | Total sales in BAKERY MEAT Last Complete Week. | 3
What were my total sales in BAKERY GROCERY Last Complete Week? | Total sales excluding BAKERY Last Complete Week. | Total sales in BAKERY GROCERY Last Complete Week. | 3
What were my total sales in BAKERY PHARMACY Last Complete Week? | Total sales excluding PHARMACY Last Week. | Total sales in BAKERY PHARMACY Last Complete Week. | 3
What were my total sales in BAKERY HBC Last Complete Week? | Total sales excluding HBC Last Complete Week. | Total sales in BAKERY HBC Last Complete Week. | 3
What were my total sales in MEAT GROCERY Last Complete Week? | Total sales excluding MEAT Last Complete Week. | Total sales in MEAT GROCERY Last Complete Week. | 3
What were my total sales in MEAT PHARMACY Last Complete Week? | Total sales in the MEAT PHARMACY departments Last Week. | Total sales in MEAT PHARMACY Last Complete Week. | 3
What were my total sales in MEAT HBC Last Complete Week? | Total sales in the MEAT HBC departments Last Complete Week. | Total sales in MEAT HBC Last Complete Week. | 3
What were my total sales in GROCERY PHARMACY Last Complete Week? | Total sales in the GM PHARMACY departments Last Week. | Total sales in GROCERY PHARMACY Last Complete Week. | 3
What were my total sales in GROCERY HBC Last Complete Week? | Total sales excluding HBC Last Complete Week. | Total sales in GROCERY HBC Last Complete Week. | 3
What were my total sales in PHARMACY HBC Last Complete Week? | Total sales in the PHARMACY HBC departments Last Week. | Total sales in PHARMACY HBC Last Complete Week. | 3
What were my total sales in FLORAL SEAFOOD Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in FLORAL SEAFOOD Last Week. | 3
What were my total sales in FLORAL GM Last Week? | Total sales Last Week. | Total sales in FLORAL GM Last Week. | 3
What were my total sales in FLORAL PRODUCE Last Week? | Total sales in the FLORAL PRODUCE departments Last Week. | Total sales in FLORAL PRODUCE Last Week. | 3
What were my total sales in FLORAL DELI Last Week? | Total sales in the FLORAL DELI departments Last Week. | Total sales in FLORAL DELI Last Week. | 3
What were my total sales in FLORAL BAKERY Last Week? | Total sales in the FLORAL BAKERY departments Last Week. | Total sales in FLORAL BAKERY Last Week. | 3
What were my total sales in FLORAL MEAT Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in FLORAL MEAT Last Week. | 3
What were my total sales in FLORAL GROCERY Last Week? | Total sales in the FLORAL department Last Week. | Total sales in FLORAL GROCERY Last Week. | 3
What were my total sales in FLORAL PHARMACY Last Week? | Total sales in the FLORAL PHARMACY departments Last Week. | Total sales in FLORAL PHARMACY Last Week. | 3
What were my total sales in FLORAL HBC Last Week? | Total sales in the FLORAL HBC departments Last Week. | Total sales in FLORAL HBC Last Week. | 3
What were my total sales in SEAFOOD GM Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD GM Last Week. | 3
What were my total sales in SEAFOOD PRODUCE Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD PRODUCE Last Week. | 3
What were my total sales in SEAFOOD DELI Last Week? | Total sales in the SEAFOOD DELI departments Last Week. | Total sales in SEAFOOD DELI Last Week. | 3
What were my total sales in SEAFOOD BAKERY Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD BAKERY Last Week. | 3
What were my total sales in SEAFOOD MEAT Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD MEAT Last Week. | 3
What were my total sales in SEAFOOD GROCERY Last Week? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD GROCERY Last Week. | 3
What were my total sales in SEAFOOD PHARMACY Last Week? | Total sales in the SEAFOOD PHARMACY departments Last Week. | Total sales in SEAFOOD PHARMACY Last Week. | 3
What were my total sales in SEAFOOD HBC Last Week? | Total sales in the SEAFOOD HBC departments Last Week. | Total sales in SEAFOOD HBC Last Week. | 3
What were my total sales in GM PRODUCE Last Week? | Total sales Last Week. | Total sales in GM PRODUCE Last Week. | 3
What were my total sales in GM DELI Last Week? | Total sales in the GM DELI departments Last Week. | Total sales in GM DELI Last Week. | 3
What were my total sales in GM BAKERY Last Week? | Total sales Last Week. | Total sales in GM BAKERY Last Week. | 3
What were my total sales in GM MEAT Last Week? | Total sales in the GM MEAT departments Last Week. | Total sales in GM MEAT Last Week. | 3
What were my total sales in GM GROCERY Last Week? | Total sales in the GM department Last Week. | Total sales in GM GROCERY Last Week. | 3
What were my total sales in GM PHARMACY Last Week? | Total sales in the GM PHARMACY departments Last Week. | Total sales in GM PHARMACY Last Week. | 3
What were my total sales in GM HBC Last Week? | Total sales in the GM HBC departments Last Week. | Total sales in GM HBC Last Week. | 3
What were my total sales in PRODUCE DELI Last Week? | Total sales in the DELI department Last Week. | Total sales in PRODUCE DELI Last Week. | 3
What were my total sales in PRODUCE BAKERY Last Week? | Total sales excluding BAKERY Last Week. | Total sales in PRODUCE BAKERY Last Week. | 3
What were my total sales in PRODUCE MEAT Last Week? | Total sales excluding MEAT Last Week. | Total sales in PRODUCE MEAT Last Week. | 3
What were my total sales in PRODUCE GROCERY Last Week? | Total sales Last Week. | Total sales in PRODUCE GROCERY Last Week. | 3
What were my total sales in PRODUCE PHARMACY Last Week? | Total sales in the PHARMACY department Last Week. | Total sales in PRODUCE PHARMACY Last Week. | 3
What were my total sales in PRODUCE HBC Last Week? | Total sales excluding HBC Last Complete Week. | Total sales in PRODUCE HBC Last Week. | 3
What were my total sales in DELI BAKERY Last Week? | Total sales in the DELI department Last Week. | Total sales in DELI BAKERY Last Week. | 3
What were my total sales in DELI MEAT Last Week? | Total sales in the DELI department Last Week. | Total sales in DELI MEAT Last Week. | 3
What were my total sales in DELI GROCERY Last Week? | Total sales in the DELI department Last Week. | Total sales in DELI GROCERY Last Week. | 3
What were my total sales in DELI PHARMACY Last Week? | Total sales in the DELI PHARMACY departments Last Week. | Total sales in DELI PHARMACY Last Week. | 3
What were my total sales in DELI HBC Last Week? | Total sales in store Delhi Last Week. | Total sales in DELI HBC Last Week. | 3
What were my total sales in BAKERY MEAT Last Week? | Total sales in the BAKERY MEAT departments Last Week. | Total sales in BAKERY MEAT Last Week. | 3
What were my total sales in BAKERY GROCERY Last Week? | Total sales in the BAKERY department Last Week. | Total sales in BAKERY GROCERY Last Week. | 3
What were my total sales in BAKERY PHARMACY Last Week? | Total sales in the BAKERY PHARMACY departments Last Week. | Total sales in BAKERY PHARMACY Last Week. | 3
What were my total sales in BAKERY HBC Last Week? | Total sales excluding HBC Last Complete Week. | Total sales in BAKERY HBC Last Week. | 3
What were my total sales in MEAT GROCERY Last Week? | Total sales excluding MEAT Last Week. | Total sales in MEAT GROCERY Last Week. | 3
What were my total sales in MEAT PHARMACY Last Week? | Total sales in the MEAT PHARMACY departments Last Week. | Total sales in MEAT PHARMACY Last Week. | 3
What were my total sales in MEAT HBC Last Week? | Total sales in the MEAT HBC departments Last Week. | Total sales in MEAT HBC Last Week. | 3
What were my total sales in GROCERY PHARMACY Last Week? | Total sales in the GM PHARMACY departments Last Week. | Total sales in GROCERY PHARMACY Last Week. | 3
What were my total sales in GROCERY HBC Last Week? | Total sales in the HBC department Last Week. | Total sales in GROCERY HBC Last Week. | 3
What were my total sales in PHARMACY HBC Last Week? | Total sales in the PHARMACY HBC departments Last Week. | Total sales in PHARMACY HBC Last Week. | 3
What were my total sales in FLORAL SEAFOOD LCW? | Total sales in the FLORAL SEAFOOD departments LCW. | Total sales in FLORAL SEAFOOD LCW. | 3
What were my total sales in FLORAL GM LCW? | Total sales LCW. | Total sales in FLORAL GM LCW. | 3
What were my total sales in FLORAL PRODUCE LCW? | Total sales excluding FLORAL LCW. | Total sales in FLORAL PRODUCE LCW. | 3
What were my total sales in FLORAL DELI LCW? | Total sales in the FLORAL DELI departments LCW. | Total sales in FLORAL DELI LCW. | 3
What were my total sales in FLORAL BAKERY LCW? | Total sales excluding BAKERY LCW. | Total sales in FLORAL BAKERY LCW. | 3
What were my total sales in FLORAL MEAT LCW? | Total sales excluding SEAFOOD LCW. | Total sales in FLORAL MEAT LCW. | 3
What were my total sales in FLORAL GROCERY LCW? | Total sales excluding FLORAL LCW. | Total sales in FLORAL GROCERY LCW. | 3
What were my total sales in FLORAL PHARMACY LCW? | Total sales in the FLORAL PHARMACY departments LCW. | Total sales in FLORAL PHARMACY LCW. | 3
What were my total sales in FLORAL HBC LCW? | Total sales in the FLORAL HBC departments LCW. | Total sales in FLORAL HBC LCW. | 3
What were my total sales in SEAFOOD GM LCW? | Total sales excluding SEAFOOD LCW. | Total sales in SEAFOOD GM LCW. | 3
What were my total sales in SEAFOOD PRODUCE LCW? | Total sales excluding SEAFOOD LCW. | Total sales in SEAFOOD PRODUCE LCW. | 3
What were my total sales in SEAFOOD DELI LCW? | Total sales in the SEAFOOD DELI departments LCW. | Total sales in SEAFOOD DELI LCW. | 3
What were my total sales in SEAFOOD BAKERY LCW? | Total sales excluding SEAFOOD LCW. | Total sales in SEAFOOD BAKERY LCW. | 3
What were my total sales in SEAFOOD MEAT LCW? | Total sales excluding SEAFOOD LCW. | Total sales in SEAFOOD MEAT LCW. | 3
What were my total sales in SEAFOOD GROCERY LCW? | Total sales excluding SEAFOOD LCW. | Total sales in SEAFOOD GROCERY LCW. | 3
What were my total sales in SEAFOOD PHARMACY LCW? | Total sales in the SEAFOOD PHARMACY departments LCW. | Total sales in SEAFOOD PHARMACY LCW. | 3
What were my total sales in SEAFOOD HBC LCW? | Total sales in the SEAFOOD HBC departments LCW. | Total sales in SEAFOOD HBC LCW. | 3
What were my total sales in GM PRODUCE LCW? | Total sales excluding GM LCW. | Total sales in GM PRODUCE LCW. | 3
What were my total sales in GM DELI LCW? | Total sales in the GM DELI departments LCW. | Total sales in GM DELI LCW. | 3
What were my total sales in GM BAKERY LCW? | Total sales excluding BAKERY LCW. | Total sales in GM BAKERY LCW. | 3
What were my total sales in GM MEAT LCW? | Total sales in the GM MEAT departments LCW. | Total sales in GM MEAT LCW. | 3
What were my total sales in GM GROCERY LCW? | Total sales excluding GM LCW. | Total sales in GM GROCERY LCW. | 3
What were my total sales in GM PHARMACY LCW? | Total sales in the GM PHARMACY departments LCW. | Total sales in GM PHARMACY LCW. | 3
What were my total sales in GM HBC LCW? | Total sales in the GM HBC departments LCW. | Total sales in GM HBC LCW. | 3
What were my total sales in PRODUCE DELI LCW? | Total sales in the DELI department LCW. | Total sales in PRODUCE DELI LCW. | 3
What were my total sales in PRODUCE BAKERY LCW? | Total sales excluding BAKERY LCW. | Total sales in PRODUCE BAKERY LCW. | 3
What were my total sales in PRODUCE MEAT LCW? | Total sales excluding MEAT LCW. | Total sales in PRODUCE MEAT LCW. | 3
What were my total sales in PRODUCE GROCERY LCW? | Total sales excluding BAKERY LCW. | Total sales in PRODUCE GROCERY LCW. | 3
What were my total sales in PRODUCE PHARMACY LCW? | Total sales excluding PHARMACY LCW. | Total sales in PRODUCE PHARMACY LCW. | 3
What were my total sales in PRODUCE HBC LCW? | Total sales excluding HBC LCW. | Total sales in PRODUCE HBC LCW. | 3
What were my total sales in DELI BAKERY LCW? | Total sales in the DELI department LCW. | Total sales in DELI BAKERY LCW. | 3
What were my total sales in DELI MEAT LCW? | Total sales in the DELI department LCW. | Total sales in DELI MEAT LCW. | 3
What were my total sales in DELI GROCERY LCW? | Total sales in the DELI department LCW. | Total sales in DELI GROCERY LCW. | 3
What were my total sales in DELI PHARMACY LCW? | Total sales in the DELI PHARMACY departments LCW. | Total sales in DELI PHARMACY LCW. | 3
What were my total sales in DELI HBC LCW? | Total sales in store Delhi LCW. | Total sales in DELI HBC LCW. | 3
What were my total sales in BAKERY MEAT LCW? | Total sales excluding BAKERY LCW. | Total sales in BAKERY MEAT LCW. | 3
What were my total sales in BAKERY GROCERY LCW? | Total sales excluding BAKERY LCW. | Total sales in BAKERY GROCERY LCW. | 3
What were my total sales in BAKERY PHARMACY LCW? | Total sales excluding PHARMACY LCW. | Total sales in BAKERY PHARMACY LCW. | 3
What were my total sales in BAKERY HBC LCW? | Total sales excluding HBC LCW. | Total sales in BAKERY HBC LCW. | 3
What were my total sales in MEAT GROCERY LCW? | Total sales excluding MEAT LCW. | Total sales in MEAT GROCERY LCW. | 3
What were my total sales in MEAT PHARMACY LCW? | Total sales in the MEAT PHARMACY departments LCW. | Total sales in MEAT PHARMACY LCW. | 3
What were my total sales in MEAT HBC LCW? | Total sales in the MEAT HBC departments LCW. | Total sales in MEAT HBC LCW. | 3
What were my total sales in GROCERY PHARMACY LCW? | Total sales in the GM PHARMACY departments LCW. | Total sales in GROCERY PHARMACY LCW. | 3
What were my total sales in GROCERY HBC LCW? | Total sales excluding HBC LCW. | Total sales in GROCERY HBC LCW. | 3
What were my total sales in PHARMACY HBC LCW? | Total sales in the PHARMACY HBC departments LCW. | Total sales in PHARMACY HBC LCW. | 3
What were my total sales in FLORAL SEAFOOD this current Year to Date? | Total sales in the SEAFOOD department this current Year to Date. | Total sales in FLORAL SEAFOOD this current Year to Date. | 3
What were my total sales in FLORAL GM this current Year to Date? | Total sales this current Year to Date. | Total sales in FLORAL GM this current Year to Date. | 3
What were my total sales in FLORAL PRODUCE this current Year to Date? | Total sales in the FLORAL department this current Year to Date. | Total sales in FLORAL PRODUCE this current Year to Date. | 3
What were my total sales in FLORAL DELI this current Year to Date? | Total sales in the FLORAL DELI departments this current Period to Date. | Total sales in FLORAL DELI this current Year to Date. | 3
What were my total sales in FLORAL BAKERY this current Year to Date? | Total sales in the FLORAL BAKERY departments this current Period to Date. | Total sales in FLORAL BAKERY this current Year to Date. | 3
What were my total sales in FLORAL MEAT this current Year to Date? | Total sales in the SEAFOOD department this current Year to Date. | Total sales in FLORAL MEAT this current Year to Date. | 3
What were my total sales in FLORAL GROCERY this current Year to Date? | Total sales in the FLORAL department this current Year to Date. | Total sales in FLORAL GROCERY this current Year to Date. | 3
What were my total sales in FLORAL PHARMACY this current Year to Date? | Total sales in the FLORAL department this current Year to Date. | Total sales in FLORAL PHARMACY this current Year to Date. | 3
What were my total sales in FLORAL HBC this current Year to Date? | Total sales in the FLORAL HBC departments this current Period to Date. | Total sales in FLORAL HBC this current Year to Date. | 3
What were my total sales in SEAFOOD GM this current Year to Date? | Total sales in the SEAFOOD department this current Year to Date. | Total sales in SEAFOOD GM this current Year to Date. | 3
What were my total sales in SEAFOOD PRODUCE this current Year to Date? | Total sales in the SEAFOOD department this current Year to Date. | Total sales in SEAFOOD PRODUCE this current Year to Date. | 3
What were my total sales in SEAFOOD DELI this current Year to Date? | Total sales in the SEAFOOD DELI departments YTD. | Total sales in SEAFOOD DELI this current Year to Date. | 3
What were my total sales in SEAFOOD BAKERY this current Year to Date? | Total sales excluding SEAFOOD YTD. | Total sales in SEAFOOD BAKERY this current Year to Date. | 3
What were my total sales in SEAFOOD MEAT this current Year to Date? | Total sales in the SEAFOOD department this current Year to Date. | Total sales in SEAFOOD MEAT this current Year to Date. | 3
What were my total sales in SEAFOOD GROCERY this current Year to Date? | Total sales in the SEAFOOD department this current Year to Date. | Total sales in SEAFOOD GROCERY this current Year to Date. | 3
What were my total sales in SEAFOOD PHARMACY this current Year to Date? | Total sales in the SEAFOOD department this current Year to Date. | Total sales in SEAFOOD PHARMACY this current Year to Date. | 3
What were my total sales in SEAFOOD HBC this current Year to Date? | Total sales in the SEAFOOD HBC departments this current Period to Date. | Total sales in SEAFOOD HBC this current Year to Date. | 3
What were my total sales in GM PRODUCE this current Year to Date? | Total sales excluding GM Last Complete Year. | Total sales in GM PRODUCE this current Year to Date. | 3
What were my total sales in GM DELI this current Year to Date? | Total sales in the GM DELI departments Last Complete Year. | Total sales in GM DELI this current Year to Date. | 3
What were my total sales in GM BAKERY this current Year to Date? | Total sales this current Year to Date. | Total sales in GM BAKERY this current Year to Date. | 3
What were my total sales in GM MEAT this current Year to Date? | Total sales in the GM MEAT departments this current Year to Date. | Total sales in GM MEAT this current Year to Date. | 3
What were my total sales in GM GROCERY this current Year to Date? | Total sales in the GM department this current Year to Date. | Total sales in GM GROCERY this current Year to Date. | 3
What were my total sales in GM PHARMACY this current Year to Date? | Total sales in the GM PHARMACY departments Last Complete Year. | Total sales in GM PHARMACY this current Year to Date. | 3
What were my total sales in GM HBC this current Year to Date? | Total sales in the GM HBC departments this current Period to Date. | Total sales in GM HBC this current Year to Date. | 3
What were my total sales in PRODUCE DELI this current Year to Date? | Total sales in the DELI department this current Year to Date. | Total sales in PRODUCE DELI this current Year to Date. | 3
What were my total sales in PRODUCE BAKERY this current Year to Date? | Total sales excluding BAKERY Last Complete Year. | Total sales in PRODUCE BAKERY this current Year to Date. | 3
What were my total sales in PRODUCE MEAT this current Year to Date? | Total sales excluding MEAT this current Year to Date. | Total sales in PRODUCE MEAT this current Year to Date. | 3
What were my total sales in PRODUCE GROCERY this current Year to Date? | Total sales this current Year to Date. | Total sales in PRODUCE GROCERY this current Year to Date. | 3
What were my total sales in PRODUCE PHARMACY this current Year to Date? | Total sales excluding PHARMACY this current Year to Date. | Total sales in PRODUCE PHARMACY this current Year to Date. | 3
What were my total sales in PRODUCE HBC this current Year to Date? | Total sales excluding HBC this current Year to Date. | Total sales in PRODUCE HBC this current Year to Date. | 3
What were my total sales in DELI BAKERY this current Year to Date? | Total sales in the DELI department Last Complete Year. | Total sales in DELI BAKERY this current Year to Date. | 3
What were my total sales in DELI MEAT this current Year to Date? | Total sales in the DELI department this current Period to Date. | Total sales in DELI MEAT this current Year to Date. | 3
What were my total sales in DELI GROCERY this current Year to Date? | Total sales in the DELI department Last Complete Year. | Total sales in DELI GROCERY this current Year to Date. | 3
What were my total sales in DELI PHARMACY this current Year to Date? | Total sales in the DELI PHARMACY departments YTD. | Total sales in DELI PHARMACY this current Year to Date. | 3
What were my total sales in DELI HBC this current Year to Date? | Total sales in store Delhi this current Year to Date. | Total sales in DELI HBC this current Year to Date. | 3
What were my total sales in BAKERY MEAT this current Year to Date? | Total sales excluding BAKERY Last Complete Year. | Total sales in BAKERY MEAT this current Year to Date. | 3
What were my total sales in BAKERY GROCERY this current Year to Date? | Total sales excluding BAKERY Last Complete Year. | Total sales in BAKERY GROCERY this current Year to Date. | 3
What were my total sales in BAKERY PHARMACY this current Year to Date? | Total sales excluding PHARMACY YTD. | Total sales in BAKERY PHARMACY this current Year to Date. | 3
What were my total sales in BAKERY HBC this current Year to Date? | Total sales excluding HBC Last Complete Year. | Total sales in BAKERY HBC this current Year to Date. | 3
What were my total sales in MEAT GROCERY this current Year to Date? | Total sales in the MEAT department this current Year to Date. | Total sales in MEAT GROCERY this current Year to Date. | 3
What were my total sales in MEAT PHARMACY this current Year to Date? | Total sales in the MEAT department this current Year to Date. | Total sales in MEAT PHARMACY this current Year to Date. | 3
What were my total sales in MEAT HBC this current Year to Date? | Total sales in the MEAT HBC departments this current Period to Date. | Total sales in MEAT HBC this current Year to Date. | 3
What were my total sales in GROCERY PHARMACY this current Year to Date? | Total sales in the GM PHARMACY departments this current Period to Date. | Total sales in GROCERY PHARMACY this current Year to Date. | 3
What were my total sales in GROCERY HBC this current Year to Date? | Total sales excluding HBC Last Complete Year. | Total sales in GROCERY HBC this current Year to Date. | 3
What were my total sales in PHARMACY HBC this current Year to Date? | Total sales in the PHARMACY HBC departments this current Year to Date. | Total sales in PHARMACY HBC this current Year to Date. | 3
What were my total sales in FLORAL SEAFOOD YTD? | Total sales in the FLORAL SEAFOOD departments Last Week. | Total sales in FLORAL SEAFOOD YTD. | 3
What were my total sales in FLORAL GM YTD? | Total sales excluding GM Last Complete Week. | Total sales in FLORAL GM YTD. | 3
What were my total sales in FLORAL PRODUCE YTD? | Total sales in the FLORAL BAKERY departments Last Week. | Total sales in FLORAL PRODUCE YTD. | 3
What were my total sales in FLORAL DELI YTD? | Total sales in the FLORAL DELI departments this current Period to Date. | Total sales in FLORAL DELI YTD. | 3
What were my total sales in FLORAL BAKERY YTD? | Total sales in the FLORAL BAKERY departments Last Week. | Total sales in FLORAL BAKERY YTD. | 3
What were my total sales in FLORAL MEAT YTD? | Total sales in the SEAFOOD department Last Week. | Total sales in FLORAL MEAT YTD. | 3
What were my total sales in FLORAL GROCERY YTD? | Total sales in the FLORAL department Last Week. | Total sales in FLORAL GROCERY YTD. | 3
What were my total sales in FLORAL PHARMACY YTD? | Total sales in the FLORAL PHARMACY departments Last Week. | Total sales in FLORAL PHARMACY YTD. | 3
What were my total sales in FLORAL HBC YTD? | Total sales in the FLORAL HBC departments Last Week. | Total sales in FLORAL HBC YTD. | 3
What were my total sales in SEAFOOD GM YTD? | Total sales excluding SEAFOOD YTD. | Total sales in SEAFOOD GM YTD. | 3
What were my total sales in SEAFOOD PRODUCE YTD? | Total sales excluding SEAFOOD YTD. | Total sales in SEAFOOD PRODUCE YTD. | 3
What were my total sales in SEAFOOD DELI YTD? | Total sales in the SEAFOOD DELI departments YTD. | Total sales in SEAFOOD DELI YTD. | 3
What were my total sales in SEAFOOD BAKERY YTD? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD BAKERY YTD. | 3
What were my total sales in SEAFOOD MEAT YTD? | Total sales excluding SEAFOOD YTD. | Total sales in SEAFOOD MEAT YTD. | 3
What were my total sales in SEAFOOD GROCERY YTD? | Total sales in the SEAFOOD department Last Week. | Total sales in SEAFOOD GROCERY YTD. | 3
What were my total sales in SEAFOOD PHARMACY YTD? | Total sales in the SEAFOOD PHARMACY departments Last Week. | Total sales in SEAFOOD PHARMACY YTD. | 3
What were my total sales in SEAFOOD HBC YTD? | Total sales in the SEAFOOD HBC departments Last Week. | Total sales in SEAFOOD HBC YTD. | 3
What were my total sales in GM PRODUCE YTD? | Total sales excluding GM Last Complete Week. | Total sales in GM PRODUCE YTD. | 3
What were my total sales in GM DELI YTD? | Total sales in the GM DELI departments YTD. | Total sales in GM DELI YTD. | 3
What were my total sales in GM BAKERY YTD? | Total sales excluding GM Last Complete Week. | Total sales in GM BAKERY YTD. | 3
What were my total sales in GM MEAT YTD? | Total sales in the GM MEAT departments Last Week. | Total sales in GM MEAT YTD. | 3
What were my total sales in GM GROCERY YTD? | Total sales in the GM department Last Week. | Total sales in GM GROCERY YTD. | 3
What were my total sales in GM PHARMACY YTD? | Total sales in the GM PHARMACY departments Last Week. | Total sales in GM PHARMACY YTD. | 3
What were my total sales in GM HBC YTD? | Total sales in the GM HBC departments Last Week. | Total sales in GM HBC YTD. | 3
What were my total sales in PRODUCE DELI YTD? | Total sales excluding DELI PTD. | Total sales in PRODUCE DELI YTD. | 3
What were my total sales in PRODUCE BAKERY YTD? | Total sales excluding BAKERY Last Week. | Total sales in PRODUCE BAKERY YTD. | 3
What were my total sales in PRODUCE MEAT YTD? | Total sales excluding MEAT Last Week. | Total sales in PRODUCE MEAT YTD. | 3
What were my total sales in PRODUCE GROCERY YTD? | Total sales Last Week. | Total sales in PRODUCE GROCERY YTD. | 3
What were my total sales in PRODUCE PHARMACY YTD? | Total sales excluding PHARMACY YTD. | Total sales in PRODUCE PHARMACY YTD. | 3
What were my total sales in PRODUCE HBC YTD? | Total sales excluding HBC Last Complete Week. | Total sales in PRODUCE HBC YTD. | 3
What were my total sales in DELI BAKERY YTD? | Total sales in the DELI department Last Week. | Total sales in DELI BAKERY YTD. | 3
What were my total sales in DELI MEAT YTD? | Total sales in the DELI department Last Week. | Total sales in DELI MEAT YTD. | 3
What were my total sales in DELI GROCERY YTD? | Total sales in the DELI department Last Week. | Total sales in DELI GROCERY YTD. | 3
What were my total sales in DELI PHARMACY YTD? | Total sales in the DELI PHARMACY departments YTD. | Total sales in DELI PHARMACY YTD. | 3
What were my total sales in DELI HBC YTD? | Total sales in store Delhi Last Week. | Total sales in DELI HBC YTD. | 3
What were my total sales in BAKERY MEAT YTD? | Total sales in the BAKERY MEAT departments Last Week. | Total sales in BAKERY MEAT YTD. | 3
What were my total sales in BAKERY GROCERY YTD? | Total sales excluding BAKERY Last Week. | Total sales in BAKERY GROCERY YTD. | 3
What were my total sales in BAKERY PHARMACY YTD? | Total sales in the BAKERY PHARMACY departments Last Week. | Total sales in BAKERY PHARMACY YTD. | 3
What were my total sales in BAKERY HBC YTD? | Total sales excluding HBC Last Complete Week. | Total sales in BAKERY HBC YTD. | 3
What were my total sales in MEAT GROCERY YTD? | Total sales in the MEAT department Last Week. | Total sales in MEAT GROCERY YTD. | 3
What were my total sales in MEAT PHARMACY YTD? | Total sales in the MEAT PHARMACY departments Last Week. | Total sales in MEAT PHARMACY YTD. | 3
What were my total sales in MEAT HBC YTD? | Total sales in the MEAT HBC departments Last Week. | Total sales in MEAT HBC YTD. | 3
What were my total sales in GROCERY PHARMACY YTD? | Total sales in the GM PHARMACY departments Last Week. | Total sales in GROCERY PHARMACY YTD. | 3
What were my total sales in GROCERY HBC YTD? | Total sales in the HBC department Last Week. | Total sales in GROCERY HBC YTD. | 3
What were my total sales in PHARMACY HBC YTD? | Total sales in the PHARMACY HBC departments Last Week. | Total sales in PHARMACY HBC YTD. | 3
What were my total sales in FLORAL SEAFOOD this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in FLORAL SEAFOOD this current Week To Date. | 3
What were my total sales in FLORAL GM this current Week To Date? | Total sales this current Week To Date. | Total sales in FLORAL GM this current Week To Date. | 3
What were my total sales in FLORAL PRODUCE this current Week To Date? | Total sales this current Week To Date. | Total sales in FLORAL PRODUCE this current Week To Date. | 3
What were my total sales in FLORAL DELI this current Week To Date? | Total sales in the DELI department this current Week To Date. | Total sales in FLORAL DELI this current Week To Date. | 3
What were my total sales in FLORAL BAKERY this current Week To Date? | Total sales in the FLORAL BAKERY departments Last Week. | Total sales in FLORAL BAKERY this current Week To Date. | 3
What were my total sales in FLORAL MEAT this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in FLORAL MEAT this current Week To Date. | 3
What were my total sales in FLORAL GROCERY this current Week To Date? | Total sales in the FLORAL department this current Week To Date. | Total sales in FLORAL GROCERY this current Week To Date. | 3
What were my total sales in FLORAL PHARMACY this current Week To Date? | Total sales in the FLORAL PHARMACY departments Last Week. | Total sales in FLORAL PHARMACY this current Week To Date. | 3
What were my total sales in FLORAL HBC this current Week To Date? | Total sales this current Week To Date. | Total sales in FLORAL HBC this current Week To Date. | 3
What were my total sales in SEAFOOD GM this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in SEAFOOD GM this current Week To Date. | 3
What were my total sales in SEAFOOD PRODUCE this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in SEAFOOD PRODUCE this current Week To Date. | 3
What were my total sales in SEAFOOD DELI this current Week To Date? | Total sales in the SEAFOOD DELI departments this current Week To Date. | Total sales in SEAFOOD DELI this current Week To Date. | 3
What were my total sales in SEAFOOD BAKERY this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in SEAFOOD BAKERY this current Week To Date. | 3
What were my total sales in SEAFOOD MEAT this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in SEAFOOD MEAT this current Week To Date. | 3
What were my total sales in SEAFOOD GROCERY this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in SEAFOOD GROCERY this current Week To Date. | 3
What were my total sales in SEAFOOD PHARMACY this current Week To Date? | Total sales in the SEAFOOD PHARMACY departments Last Week. | Total sales in SEAFOOD PHARMACY this current Week To Date. | 3
What were my total sales in SEAFOOD HBC this current Week To Date? | Total sales in the SEAFOOD department this current Week To Date. | Total sales in SEAFOOD HBC this current Week To Date. | 3
